"Sum Sq","Df","F value","Pr(>F)","trait","term"
4.42145839629655,22,2.1603652649615,0.0123849698794117,"plant_height4","treatment"
4.65142133391561,50,NA,NA,"plant_height4","Residuals"
0.0856559457994143,22,1.41669850851542,0.160312878665241,"chlorophyll_content4_mean","treatment"
0.120923323183525,44,NA,NA,"chlorophyll_content4_mean","Residuals"
2.77114643484579,22,1.20616623722632,0.285255992815011,"leaf_number2","treatment"
5.22155229089971,50,NA,NA,"leaf_number2","Residuals"
6.74684574376272,22,1.32726159615263,0.201273685316262,"wet_shoot_weight","treatment"
11.5529149424513,50,NA,NA,"wet_shoot_weight","Residuals"
7.85330294802609,22,1.38315232888101,0.169990078228597,"dry_shoot_weight","treatment"
12.9041577115429,50,NA,NA,"dry_shoot_weight","Residuals"
30.0540811365967,22,0.958453858385917,0.527495084905994,"wet_root_weight","treatment"
71.2655379894136,50,NA,NA,"wet_root_weight","Residuals"
10.5025853444536,22,0.994040516030228,0.487746724573219,"dry_root_weight","treatment"
24.0126149402946,50,NA,NA,"dry_root_weight","Residuals"
6.36633691225804,22,1.28114754626545,0.23054596334639,"dry_total_weight","treatment"
11.2937401863167,50,NA,NA,"dry_total_weight","Residuals"
6.95368268724023,22,1.36808024020428,0.177991450567295,"shoot_root_ratio","treatment"
11.5518255616517,50,NA,NA,"shoot_root_ratio","Residuals"
1.28365334389632,22,1.81362645038503,0.0414582539995103,"shoot_moisture","treatment"
1.60859694276149,50,NA,NA,"shoot_moisture","Residuals"
