"spikeFac","emmean","SE","df","lower.CL","upper.CL","t.ratio","p.value","trait","amend"
"0",2.47888607419454,0.180523277622884,6,2.03716152677157,2.92061062161751,13.7316699920161,9.27339818513839e-06,"plant_height4","RW"
"1",2.53156224394969,0.180523277622884,6,2.08983769652672,2.97328679137266,14.0234670967927,8.20156166144019e-06,"plant_height4","RW"
"2",2.57647134359293,0.180523277622884,6,2.13474679616996,3.0181958910159,14.2722388908494,7.40021189741554e-06,"plant_height4","RW"
"0",-0.360035040195072,0.0207838518183495,6,-0.410891293521833,-0.309178786868312,-17.3228255927617,2.37146276907272e-06,"chlorophyll_content4_mean","RW"
"1",-0.335405173231275,0.0207838518183495,6,-0.386261426558035,-0.284548919904515,-16.1377773553579,3.59970605785706e-06,"chlorophyll_content4_mean","RW"
"2",-0.332966053623355,0.0207838518183495,6,-0.383822306950115,-0.282109800296595,-16.0204208793188,3.75757930764283e-06,"chlorophyll_content4_mean","RW"
"0",2.0841489958782,0.160688533122683,6,1.69095831983721,2.47733967191919,12.9701165066146,1.29321392553206e-05,"leaf_number2","RW"
"1",1.98458365981635,0.160688533122683,6,1.59139298377536,2.37777433585735,12.350499573614,1.71866690818804e-05,"leaf_number2","RW"
"2",1.99942048121908,0.160688533122683,6,1.60622980517808,2.39261115726007,12.4428323687077,1.6459707546869e-05,"leaf_number2","RW"
"0",6.81179369146194,0.205569689306118,6,6.30878278246261,7.31480460046127,33.1361773929539,5.02662249761638e-08,"wet_shoot_weight","RW"
"1",6.79864264098781,0.205569689306118,6,6.29563173198848,7.30165354998713,33.0722037083192,5.08496429780167e-08,"wet_shoot_weight","RW"
"2",6.94159827675264,0.205569689306118,6,6.43858736775331,7.44460918575197,33.7676157422983,4.49074018409953e-08,"wet_shoot_weight","RW"
"0",4.63699933535147,0.263529596813192,6,3.99216564178182,5.28183302892112,17.5957440508608,2.16257561296342e-06,"dry_shoot_weight","RW"
"1",4.66802482190431,0.263529596813191,6,4.02319112833465,5.31285851547396,17.7134746091284,2.07913107522904e-06,"dry_shoot_weight","RW"
"2",4.76280152590068,0.263529596813192,6,4.11796783233103,5.40763521947034,18.0731180994327,1.84650068497495e-06,"dry_shoot_weight","RW"
"0",5.97282947569392,0.380140468990763,6,5.04265925702062,6.90299969436723,15.7121642206398,4.21214787205254e-06,"wet_root_weight","RW"
"1",5.4547309957833,0.380140468990763,6,4.52456077711,6.38490121445661,14.3492509762644,7.17085437840547e-06,"wet_root_weight","RW"
"2",6.30388804210871,0.380140468990763,6,5.3737178234354,7.23405826078201,16.5830490472244,3.06693677102572e-06,"wet_root_weight","RW"
"0",3.96622409951171,0.192616934407472,6,3.49490743997885,4.43754075904457,20.5912533688308,8.53463451697893e-07,"dry_root_weight","RW"
"1",3.75303643860098,0.192616934407472,6,3.28171977906813,4.22435309813384,19.4844573253441,1.18384278229218e-06,"dry_root_weight","RW"
"2",4.08885772340105,0.192616934407472,6,3.61754106386819,4.5601743829339,21.2279244085116,7.12487117753548e-07,"dry_root_weight","RW"
"0",5.05667209196754,0.225592011054121,6,4.50466832659559,5.6086758573395,22.4151204129051,5.15848350393841e-07,"dry_total_weight","RW"
"1",5.01131289456564,0.225592011054121,6,4.45930912919368,5.56331665993759,22.2140530205362,5.44198059718533e-07,"dry_total_weight","RW"
"2",5.22780672708475,0.225592011054121,6,4.67580296171279,5.7798104924567,23.1737227867992,4.23312036268787e-07,"dry_total_weight","RW"
"0",0.670775235839756,0.171445251452325,6,0.251263818238533,1.09028665344098,3.91247485805276,0.00786991676219185,"shoot_root_ratio","RW"
"1",0.914988383303319,0.171445251452325,6,0.495476965702096,1.33449980090454,5.33691295356615,0.00176646915954084,"shoot_root_ratio","RW"
"2",0.673943802499635,0.171445251452325,6,0.254432384898411,1.09345522010086,3.93095636531551,0.00770426847005473,"shoot_root_ratio","RW"
"0",2.0531030404149,0.0890302141799495,6,1.83525395422801,2.2709521266018,23.0607447070175,4.35784460798499e-07,"shoot_moisture","RW"
"1",2.00175756831269,0.0890302141799494,6,1.7839084821258,2.21960665449958,22.4840250778989,5.06531544080631e-07,"shoot_moisture","RW"
"2",2.0582430914437,0.0890302141799495,6,1.8403940052568,2.27609217763059,23.1184784896006,4.29358123532655e-07,"shoot_moisture","RW"
"0",2.77324703944588,0.167646894571835,6,2.3630298663104,3.18346421258135,16.5421915301722,3.11180526248522e-06,"plant_height4","BS"
"1",2.62977360161228,0.167646894571835,6,2.2195564284768,3.03999077474775,15.6863842204094,4.25298198235614e-06,"plant_height4","BS"
"2",2.42278301141946,0.167646894571835,6,2.01256583828398,2.83300018455493,14.4517022973027,6.87842058747621e-06,"plant_height4","BS"
"0",-0.349934510387528,0.0279906462654041,6,-0.418425154455552,-0.281443866319504,-12.501837473472,1.60138406956434e-05,"chlorophyll_content4_mean","BS"
"1",-0.373146043695202,0.0279906462654041,6,-0.441636687763226,-0.304655399627178,-13.3310978302206,1.10214642208628e-05,"chlorophyll_content4_mean","BS"
"2",-0.332632163527469,0.0279906462654041,6,-0.401122807595493,-0.264141519459445,-11.8836900146388,2.14850552116759e-05,"chlorophyll_content4_mean","BS"
"0",2.10436065997917,0.105608422033403,6,1.84594616052492,2.36277515943342,19.9260685792046,1.03674567912583e-06,"leaf_number2","BS"
"1",2.250764229179,0.105608422033403,6,1.99234972972475,2.50917872863325,21.3123554527413,6.95908280615373e-07,"leaf_number2","BS"
"2",1.94266207857841,0.105608422033403,6,1.68424757912416,2.20107657803266,18.3949541255712,1.6636789956029e-06,"leaf_number2","BS"
"0",6.99704238931662,0.21816140715284,6,6.46322065669187,7.53086412194137,32.0727780437106,6.10736103401553e-08,"wet_shoot_weight","BS"
"1",7.13874390627284,0.21816140715284,6,6.60492217364809,7.67256563889759,32.7223040932787,5.4183832744611e-08,"wet_shoot_weight","BS"
"2",6.72651635044757,0.21816140715284,6,6.19269461782283,7.26033808307232,30.8327510270186,7.7278201349115e-08,"wet_shoot_weight","BS"
"0",4.83729005599663,0.201750849226893,6,4.34362351204479,5.33095659994848,23.9765536280669,3.45736215769591e-07,"dry_shoot_weight","BS"
"1",4.81855676823891,0.201750849226893,6,4.32489022428706,5.31222331219076,23.8837000523347,3.53805038568714e-07,"dry_shoot_weight","BS"
"2",4.55088196473223,0.201750849226893,6,4.05721542078039,5.04454850868408,22.5569408117545,4.96885131071895e-07,"dry_shoot_weight","BS"
"0",4.98521580493232,0.321916235712178,6,4.19751515269221,5.77291645717243,15.4860651681748,4.58645709012261e-06,"wet_root_weight","BS"
