"spikeFac","species","emmean","SE","df","lower.CL","upper.CL","t.ratio","p.value","trait","amend","asymp.LCL","asymp.UCL","z.ratio","emmean.bt","LCL.bt","UCL.bt"
"0","lettuce",5.62554216485876,0.110461563346184,18,5.39347103182528,5.85761329789224,50.927598654642,6.52962865726349e-21,"wet_shoot_weight","RW",NA,NA,NA,277.422652570562,219.965569498549,349.888068095105
"1","lettuce",5.77965594619933,0.110461563346184,18,5.54758481316585,6.0117270792328,52.3227788120836,4.02678623880315e-21,"wet_shoot_weight","RW",NA,NA,NA,323.647818997255,256.617028793592,408.187684325242
"2","lettuce",5.49234663873719,0.110461563346184,18,5.26027550570371,5.72441777177067,49.7217898457975,1.00218597804694e-20,"wet_shoot_weight","RW",NA,NA,NA,242.826364546487,192.534528351627,306.254903074716
"0","radish",5.01490986501878,0.110461563346184,18,4.78283873198531,5.24698099805226,45.3995916145256,5.08750407593872e-20,"wet_shoot_weight","RW",NA,NA,NA,150.64255798983,119.4429357225,189.991816095696
"1","radish",4.99120537577797,0.110461563346184,18,4.7591342427445,5.22327650881145,45.1849967045611,5.53652338849232e-20,"wet_shoot_weight","RW",NA,NA,NA,147.113643888606,116.644896006584,185.541116320786
"2","radish",4.87079765198926,0.110461563346184,18,4.63872651895578,5.10286878502274,44.0949548823993,8.56070560004198e-20,"wet_shoot_weight","RW",NA,NA,NA,130.424909104345,103.412569745496,164.493126481054
"0","pea",4.32695659689107,0.110461563346184,18,4.0948854638576,4.55902772992455,39.1716038214171,7.06214037765846e-19,"wet_shoot_weight","RW",NA,NA,NA,75.713508844288,60.0324628769498,95.4905920362489
"1","pea",3.9677115854362,0.110461563346184,18,3.73564045240272,4.19978271846968,35.9193864837989,3.29882590648044e-18,"wet_shoot_weight","RW",NA,NA,NA,52.8634188976662,41.9148614423543,66.6718429069241
"2","pea",4.25300196724883,0.110461563346184,18,4.02093083421535,4.48507310028231,38.5020982721387,9.59823605591451e-19,"wet_shoot_weight","RW",NA,NA,NA,70.3161827030868,55.752978460598,88.6834333600347
"0","lettuce",2.67252520124343,0.137474241116447,18,2.38370253811647,2.96134786437038,19.4401887912927,1.57154300477561e-13,"dry_shoot_weight","RW",NA,NA,NA,14.476479098993,10.8449825811831,19.324000341614
"1","lettuce",2.90994231135712,0.137474241116447,18,2.62111964823017,3.19876497448408,21.1671822133738,3.61012984929908e-14,"dry_shoot_weight","RW",NA,NA,NA,18.355739618766,13.7511113765292,24.5022505982332
